# Linearisation-Deviation-File "iterative_03_04"
# Properties:
# Timebase: 01.08.2011 17:23:01
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13057
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8161
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 10.042851
# FSR-Error [MHz]: 1.478952
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-85.593328	0.000000	0.000000
206.210283	6.281389	6.281389
509.164369	-4.869086	1.412303
809.114228	-1.864859	-0.452556
1106.313899	0.885329	0.432773
1403.974451	0.424448	0.857221
1697.534293	4.525157	5.382379
1994.707946	0.911347	6.293726
2290.580635	2.212311	8.506037
2592.631779	-3.966144	4.539893
2891.477934	-0.761155	3.778738
3191.392588	-1.829654	1.949084
3488.965892	0.511696	2.460780
3788.903500	-1.852609	0.608172
4089.133487	-2.144986	-1.536815
4383.713019	3.505468	1.968653
4682.045111	-0.247092	1.721561
4977.567901	2.562210	4.283771
5276.852818	-1.199917	3.083854
5572.163851	2.773967	5.857821
5871.293843	-1.044993	4.812829
6171.191069	-1.812225	3.000603
6466.142057	3.134012	6.134615
6767.328977	-3.101920	3.032695
7064.078510	1.335468	4.368163
7362.456722	-0.293212	4.074950
7660.530993	0.010729	4.085679
7955.360026	3.255967	7.341646
8259.388703	-5.943677	1.397969
