# Linearisation-Deviation-File "iterative_02_04"
# Properties:
# Timebase: 01.08.2011 17:06:44
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13056
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8160
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 8.820201
# FSR-Error [MHz]: -0.614517
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-87.655647	0.000000	0.000000
207.304388	3.124965	3.124965
509.228412	-3.839024	-0.714059
806.913203	0.400209	-0.313850
1107.620073	-2.621870	-2.935719
1403.835442	1.869631	-1.066088
1697.520588	4.399854	3.333766
1997.391839	-1.786252	1.547514
2295.973606	-0.496767	1.050747
2592.849984	1.208622	2.259370
2891.239761	-0.304777	1.954592
3191.449739	-2.124977	-0.170385
3486.497483	3.037255	2.866870
3785.827774	-1.245290	1.621580
4082.883715	1.029059	2.650638
4381.640531	-0.671816	1.978822
4678.548070	1.177461	3.156283
4975.370702	1.262368	4.418652
5271.989872	1.465830	5.884482
5573.109119	-3.034247	2.850235
5876.674352	-5.480233	-2.629998
6172.193003	2.566349	-0.063650
6467.010775	3.267228	3.203579
6767.325321	-2.229546	0.974033
7062.948168	2.462153	3.436186
7361.001169	0.031999	3.468185
7659.358172	-0.272003	3.196182
7956.839366	0.603806	3.799988
8260.128201	-5.203835	-1.403847
