# Linearisation-Deviation-File "iterative_02_05"
# Properties:
# Timebase: 01.08.2011 17:08:04
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13056
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8160
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 10.454222
# FSR-Error [MHz]: 4.150873
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-83.491404	0.000000	0.000000
207.093910	7.499686	7.499686
507.746064	-2.567154	4.932532
802.331585	3.499480	8.432012
1102.832326	-2.415741	6.016271
1402.810901	-1.893575	4.122695
1695.350376	5.545525	9.668220
1997.023346	-3.587970	6.080250
2293.419211	1.689135	7.769385
2591.587398	-0.083187	7.686198
2889.340688	0.331710	8.017908
3187.359182	0.066507	8.084415
3487.288383	-1.844201	6.240214
3788.244556	-2.871174	3.369040
4083.498976	2.830581	6.199621
4381.735657	-0.151682	6.047939
4684.582549	-4.761891	1.286047
4982.419275	0.248274	1.534322
5280.909293	-0.405018	1.129303
5574.764141	4.230152	5.359455
5875.785290	-2.936149	2.423306
6171.227268	2.643022	5.066328
6470.338982	-1.026714	4.039614
6764.311716	4.112267	8.151881
7061.910299	0.486416	8.638297
7360.557838	-0.562539	8.075758
7657.536251	1.106587	9.182345
7954.349374	1.271877	10.454222
8258.571353	-6.136978	4.317243
