# Linearisation-Deviation-File "iterative_02_07"
# Properties:
# Timebase: 01.08.2011 17:10:47
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13057
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8161
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 15.095560
# FSR-Error [MHz]: 0.826897
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-85.288951	0.000000	0.000000
204.912610	7.883439	7.883439
508.568204	-5.570594	2.312845
807.682235	-1.029031	1.283814
1104.920725	0.846510	2.130324
1402.679402	0.326323	2.456647
1703.479498	-2.715096	-0.258449
1998.813499	2.750999	2.492550
2300.862843	-3.964344	-1.471794
2596.385716	2.562127	1.090333
2895.656902	-1.186186	-0.095853
3193.852118	-0.110216	-0.206070
3493.627388	-1.690269	-1.896339
3789.901248	1.811140	-0.085199
4090.455084	-2.468837	-2.554035
4393.198170	-4.658085	-7.212121
4690.467387	0.815783	-6.396338
4987.774036	0.778350	-5.617987
5284.658951	1.200085	-4.417903
5583.651295	-0.907343	-5.325246
5881.606667	0.129628	-5.195618
6180.098506	-0.406840	-5.602457
6476.288183	1.895324	-3.707134
6770.667769	3.705414	-0.001720
7065.528389	3.224380	3.222660
7361.699514	1.913875	5.136535
7663.202065	-3.417551	1.718984
7956.159862	5.127203	6.846187
8259.731771	-5.486909	1.359278
