# Linearisation-Deviation-File "iterative_02_10"
# Properties:
# Timebase: 01.08.2011 17:14:58
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13056
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8160
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 11.590661
# FSR-Error [MHz]: 1.679277
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-86.051293	0.000000	0.000000
207.989961	4.043746	4.043746
510.241925	-4.166965	-0.123218
807.001989	1.324936	1.201718
1101.504389	3.582600	4.784318
1397.292660	2.296730	7.081047
1696.965611	-1.587951	5.493096
1995.879467	-0.828856	4.664240
2295.451009	-1.486541	3.177698
2592.358271	1.177738	4.355436
2890.947991	-0.504720	3.850716
3189.819048	-0.786057	3.064659
3488.964047	-1.059999	2.004660
3787.879031	-0.829984	1.174676
4085.817447	0.146584	1.321260
4387.145036	-3.242588	-1.921329
4684.133448	1.096588	-0.824741
4981.764795	0.453652	-0.371088
5283.068919	-3.219124	-3.590212
5582.073320	-0.919401	-4.509613
5872.041307	8.117013	3.607400
6170.887351	-0.761044	2.846356
6466.159277	2.813075	5.659430
6767.119275	-2.874998	2.784432
7066.538053	-1.333778	1.450653
7364.313380	0.309673	1.760327
7663.357641	-0.959261	0.801066
7957.969687	3.472954	4.274020
8258.151692	-2.097005	2.177015
