# Linearisation-Deviation-File "iterative_02_02"
# Properties:
# Timebase: 01.08.2011 17:03:57
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13056
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8160
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 17.534610
# FSR-Error [MHz]: 0.226910
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-86.579677	0.000000	0.000000
203.552862	7.952461	7.952461
503.576046	-1.938184	6.014276
794.687420	6.973627	12.987903
1092.109258	0.663162	13.651065
1389.012144	1.182114	14.833178
1687.570351	-0.473207	14.359972
1983.116516	2.538835	16.898807
2285.032215	-3.830698	13.068108
2584.441625	-1.324410	11.743698
2880.223252	2.303373	14.047071
3180.002594	-1.694342	12.352729
3479.244477	-1.156883	11.195846
3780.093839	-2.764361	8.431484
4078.328328	-0.149490	8.281995
4373.540162	2.873166	11.155161
4674.447245	-2.822082	8.333078
4978.741581	-6.209336	2.123742
5279.586126	-2.759546	-0.635804
5577.585462	0.085665	-0.550139
5871.144577	4.525885	3.975746
6171.042294	-1.812718	2.163029
6468.627517	0.499777	2.662805
6763.937880	2.774637	5.437443
7056.663904	5.358976	10.796419
7352.505993	2.242911	13.039330
7650.177436	0.413557	13.452887
7953.956737	-5.694301	7.758586
8259.696307	-7.654569	0.104016
