# Linearisation-Deviation-File "iterative_02_03"
# Properties:
# Timebase: 01.08.2011 17:05:19
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13056
# Scan Offset [MHz]: -2448
# Cycles: 44
# FSR: 8160
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 7.626466
# FSR-Error [MHz]: 1.432712
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-88.265688	0.000000	0.000000
204.318410	5.500902	5.500902
506.195617	-3.792207	1.708695
802.009589	2.271028	3.979723
1105.094536	-4.999947	-1.020224
1402.766089	0.413447	-0.606777
1699.938435	0.912653	0.305877
1996.739082	1.284353	1.590230
2295.626629	-0.802547	0.787683
2592.157105	1.554524	2.342207
2891.046074	-0.803970	1.538238
3190.631899	-1.500824	0.037413
3488.509675	0.207223	0.244636
3788.520349	-1.925674	-1.681037
4085.383361	1.221988	-0.459049
4382.780058	0.688303	0.229254
4682.915410	-2.050352	-1.821098
4979.154108	1.846302	0.025204
5275.304516	1.934592	1.959796
5570.395631	2.993886	4.953681
5875.559876	-7.079245	-2.125564
6169.614059	4.030817	1.905253
6468.003507	-0.304448	1.600805
6764.186355	1.902152	3.502957
7060.547303	1.724052	5.227009
7359.803621	-1.171318	4.055691
7658.368921	-0.480300	3.575391
7954.673896	1.780025	5.355416
8256.081165	-3.322269	2.033147
