# Linearisation-Deviation-File "iterative_02_09"
# Properties:
# Timebase: 01.08.2011 17:13:36
# Scan Step Size [MHz]:  1
# Scan Width [MHz]: 13062
# Scan Offset [MHz]: -2449
# Cycles: 44
# FSR: 8164
# Deviation-tolerance [MHz]: 10.000000
# FSR-tolerance [MHz]: 2.000000
# Max. Deviation [MHz]: 11.794928
# FSR-Error [MHz]: -4.342500
# Laser: Blau

Scan-Position [MHz]	Deviation between Fringes [MHz]	Deviation total [MHz]
-86.372925	0.000000	0.000000
205.876354	5.835721	5.835721
506.264235	-2.302881	3.532840
802.789663	1.559572	5.092412
1102.614437	-1.739774	3.352638
1400.153496	0.545941	3.898579
1699.500296	-1.261799	2.636779
1998.447094	-0.861799	1.774981
2292.900203	3.631891	5.406872
2593.292177	-2.306974	3.099898
2892.317447	-0.940269	2.159628
3192.298914	-1.896467	0.263161
3488.905788	1.478125	1.741287
3784.593922	2.396866	4.138153
4084.674081	-1.995159	2.142994
4381.636530	1.122551	3.265545
4682.706895	-2.985365	0.280180
4979.319968	1.471928	1.752107
5271.906660	5.498308	7.250415
5574.478209	-4.486550	2.763866
5870.550096	2.013114	4.776979
6171.157039	-2.521943	2.255036
6469.269608	-0.027569	2.227467
6767.220309	0.134299	2.361766
7063.644263	1.661046	4.022812
7362.750970	-1.021707	3.001105
7663.406067	-2.570097	0.431008
7960.643207	0.847860	1.278868
8264.551588	-5.823381	-4.544512
